"","team_name","opponent_win_perc"
"1","A&M-Corpus Christi",0.443424731350023
"2","Abilene Christian",0.551172650183341
"3","Akron",0.499044569102077
"4","Alabama",0.630591191769635
"5","Alabama A&M",0.397848133512808
"6","Alabama St.",0.485230941572409
"7","Alcorn",0.405228275170317
"8","App State",0.530713857395902
"9","Arizona",0.560622092493459
"10","Arizona St.",0.564689180586002
"11","Ark.-Pine Bluff",0.492615546659823
"12","Arkansas",0.628570749486592
"13","Army West Point",0.452724399525916
"14","Auburn",0.640469001821408
"15","Austin Peay",0.453605074710541
"16","BYU",0.52761137157779
"17","Ball St.",0.433423140240994
"18","Baylor",0.575866564544454
"19","Bellarmine",0.540940235746184
"20","Belmont",0.47770759712388
"21","Bethune-Cookman",0.466047304943671
"22","Binghamton",0.462686251293288
"23","Boise St.",0.50627614662868
"24","Boston College",0.562946656497649
"25","Boston U.",0.439560627953345
"26","Bowie St.",0.411111111111111
"27","Bowling Green",0.479071805384896
"28","Bradley",0.491216986085654
"29","Brown",0.435302103558993
"30","Bryant",0.442057610254324
"31","Bucknell",0.486032280387973
"32","Buffalo",0.483919614807729
"33","Butler",0.486335828384444
"34","CSU Bakersfield",0.463027926205303
"35","CSUN",0.470744131381694
"36","Cal Poly",0.498676200288985
"37","Cal St. Fullerton",0.505304987559839
"38","California",0.594898497071725
"39","California Baptist",0.531585835437656
"40","Campbell",0.398552723681513
"41","Canisius",0.425528822222602
"42","Central Ark.",0.576696885095555
"43","Central Conn. St.",0.453029610873303
"44","Central Mich.",0.476755080989951
"45","Charleston So.",0.505090140356436
"46","Charlotte",0.595716353462066
"47","Chattanooga",0.501187572113763
"48","Chestnut Hill",0.555555555555556
"49","Claflin",0.188181818181818
"50","Clemson",0.579792576808187
"51","Cleveland St.",0.435468607068792
"52","Coastal Carolina",0.525880451858008
"53","Col. of Charleston",0.476600379540494
"54","Colby",0.25531914893617
"55","Colgate",0.436435336361349
"56","Colorado St.",0.517490577357263
"57","Columbia",0.464840787250841
"58","Coppin St.",0.432578396591391
"59","Cornell",0.521168179579533
"60","Creighton",0.485466190149283
"61","Dartmouth",0.487993878674209
"62","Dayton",0.464335183098887
"63","DePaul",0.457470296371166
"64","Delaware",0.418766792546174
"65","Delaware St.",0.333423358623038
"66","Detroit Mercy",0.461178480859349
"67","Drake",0.461608494214489
"68","Drexel",0.494545043442635
"69","Duke",0.613511536090111
"70","ETSU",0.49384064318004
"71","East Carolina",0.531133326537322
"72","East Texas A&M",0.484063977572928
"73","Eastern Ill.",0.453070522262565
"74","Eastern Ky.",0.47345311391832
"75","Elon",0.48041932501783
"76","Evansville",0.464217725656009
"77","FDU",0.39563723055609
"78","FGCU",0.524907992697401
"79","FIU",0.52355428866367
"80","Fairfield",0.427925442871743
"81","Fla. Atlantic",0.495621340734788
"82","Florida",0.66179726773957
"83","Florida A&M",0.461818166982145
"84","Florida St.",0.604351990082427
"85","Fordham",0.49904396010021
"86","Fort Valley St.",0.398189209164819
"87","Fresno St.",0.50074922370424
"88","Furman",0.52600050287258
"89","Ga. Southern",0.527255473793937
"90","Gardner-Webb",0.455677312036361
"91","George Mason",0.461008084715849
"92","George Washington",0.425130219157689
"93","Georgetown",0.491761992334836
"94","Georgia",0.598243390782525
"95","Georgia St.",0.533879008982929
"96","Georgia Tech",0.60961869997406
"97","Grambling",0.370437184844001
